Team,ML Odds,Date
DET,+500,20160302.0
SAS,-700,20160302.0
LAL,+235,20160302.0
DEN,-275,20160302.0
OKC,+115,20160302.0
LAC,-125,20160302.0
BRK,-155,20160311.0
PHI,+135,20160311.0
DET,+155,20160311.0
CHO,-175,20160311.0
HOU,+215,20160311.0
BOS,-255,20160311.0
NOP,-113,20160311.0
MEM,+103,20160311.0
MIN,+800,20160311.0
OKC,-1250,20160311.0
MIA,-125,20160311.0
CHI,+115,20160311.0
WAS,+160,20160311.0
UTA,-185,20160311.0
ORL,-105,20160311.0
SAC,-105,20160311.0
NYK,+420,20160311.0
LAC,-535,20160311.0
POR,+850,20160311.0
GSW,-1300,20160311.0
BOS,+110,20160315.0
IND,-130,20160315.0
DEN,+130,20160315.0
ORL,-140,20160315.0
PHI,+255,20160315.0
BRK,-310,20160315.0
TOR,-120,20160315.0
MIL,+110,20160315.0
LAC,+365,20160315.0
SAS,-460,20160315.0
SAC,-140,20160315.0
LAL,+120,20160315.0
POR,-105,20160320.0
DAL,-105,20160320.0
ORL,+415,20160320.0
TOR,-525,20160320.0
BOS,-750,20160320.0
PHI,+525,20160320.0
LAC,-300,20160320.0
NOP,+250,20160320.0
UTA,+108,20160320.0
MIL,-118,20160320.0
SAC,-135,20160320.0
NYK,+115,20160320.0
BRK,+423,20160328.0
MIA,-480,20160328.0
OKC,-150,20160328.0
TOR,+130,20160328.0
PHO,+220,20160328.0
MIN,-260,20160328.0
ATL,-140,20160328.0
CHI,+130,20160328.0
SAS,-340,20160328.0
MEM,+280,20160328.0
NYK,-185,20160328.0
NOP,+160,20160328.0
DAL,+105,20160328.0
DEN,-125,20160328.0
LAL,+800,20160328.0
UTA,-1000,20160328.0
SAC,+535,20160328.0
POR,-650,20160328.0
BOS,+140,20160328.0
LAC,-160,20160328.0
BRK,+1430,20160408.0
CHO,-2650,20160408.0
NYK,-155,20160408.0
PHI,+135,20160408.0
MIA,-103,20160408.0
ORL,-117,20160408.0
WAS,+200,20160408.0
DET,-240,20160408.0
IND,-200,20160408.0
TOR,+170,20160408.0
MIL,+450,20160408.0
BOS,-600,20160408.0
LAL,+115,20160408.0
NOP,-135,20160408.0
MEM,+210,20160408.0
DAL,-250,20160408.0
SAS,+120,20160408.0
DEN,-140,20160408.0
LAC,+1000,20160408.0
UTA,-1500,20160408.0
UTA,+135,20151031.0
IND,-155,20151031.0
NYK,+270,20151031.0
WAS,-330,20151031.0
